Year,Log unemployment rate,Log vacancy rate
1930,-3.31484054000071,-4.07680689998459
1930.25,-2.96023053066745,-4.15229913055601
1930.5,-2.26936726435926,-4.28089864754114
1930.75,-1.79531208570362,-4.35333243392423
1931,-1.85241501281006,-4.33595766801901
1931.25,-1.94210029540651,-4.42444276582168
1931.5,-1.88429005071754,-4.52966049075497
1931.75,-1.74983412343175,-4.59506147493846
1932,-1.67325374117674,-4.65366909357684
1932.25,-1.47738959823524,-4.83949473736827
1932.5,-1.37473892507815,-4.87068205262863
1932.75,-1.39907107197662,-4.82617179124083
1933,-1.4723469414656,-4.9349442952336
1933.25,-1.4774223127518,-4.8356695752648
1933.5,-1.62519119199637,-4.76907131734572
1933.75,-1.70642112257353,-4.80451269684102
1934,-1.88519253720964,-4.7451017379128
1934.25,-1.9297845543534,-4.7583655506076
1934.5,-1.76387921632177,-4.84573713446254
1934.75,-1.71678963292882,-4.80808391368577
1935,-1.89650093409292,-4.76882664850581
1935.25,-1.90046461571073,-4.75643946215998
1935.5,-1.92503599696196,-4.6768540571118
1935.75,-2.0391639692504,-4.60090299009916
1936,-2.22845675709529,-4.54704432897594
1936.25,-2.26717037435538,-4.40263338823294
1936.5,-2.36727911919968,-4.34907701042627
1936.75,-2.36696204993937,-4.31652573926702
1937,-2.42061590446932,-4.31332956479858
1937.25,-2.42682605335582,-4.29260616277398
1937.5,-2.45073225096515,-4.40818035843416
1937.75,-2.26542408515508,-4.6567104687695
1938,-2.07795867606869,-4.79682958100713
1938.25,-2.02435568756062,-4.88642496669156
1938.5,-2.06651493594726,-4.82202713529239
1938.75,-2.16361238343046,-4.75267441415811
1939,-2.12916991523008,-4.74264266019674
1939.25,-2.14612958304383,-4.72823978216349
1939.5,-2.21399338682707,-4.70984623594602
1939.75,-2.24748439142224,-4.60940569979286
1940,-2.26820973553761,-4.60689133297883
1940.25,-2.32523808961593,-4.65515623344098
1940.5,-2.40216265443329,-4.60534686492823
1940.75,-2.42339140728018,-4.47828684401339
1941,-2.61652189357027,-4.29723399014062
1941.25,-2.70922204694543,-4.12004314423008
1941.5,-2.88904465628519,-4.04068274669658
1941.75,-3.11619382698844,-4.06484308395364
1942,-3.19953368348135,-3.94816853328102
1942.25,-3.41899618984551,-3.75340126854662
1942.5,-3.63078276836655,-3.5187265762889
1942.75,-3.73061609596323,-3.26875089120622
1943,-3.93410598445114,-3.1249889931494
1943.25,-4.0099522239221,-3.04267615056098
1943.5,-3.99006409240386,-2.99239843896131
1943.75,-4.22645785910557,-2.96493341202492
1944,-4.35588496255886,-2.86435548592465
1944.25,-4.28165572321322,-2.78719799562167
1944.5,-4.35548195220797,-2.93805618262084
1944.75,-4.63429961822213,-2.72039130117796
1945,-4.54179038590855,-2.70264731103446
1945.25,-4.46076296846992,-2.72297021501898
1945.5,-3.87507263518224,-2.76814153073795
1945.75,-3.37438086517771,-2.97764391019381
1946,-3.26622402891201,-3.06358403563971
1946.25,-3.24637879293571,-3.09733816663705
1946.5,-3.28156149736823,-3.06601442866715
1946.75,-3.13809402654331,-3.1656085210782
1947,-3.18701394374029,-3.21110116435076
1947.25,-3.08693794631727,-3.28604223945066
1947.5,-3.07483618764327,-3.26124088256221
1947.75,-3.14038098298261,-3.25324589403969
1948,-3.28786869635515,-3.36271928264004
1948.25,-3.30588720185783,-3.39779396087474
1948.5,-3.27897974893791,-3.41124788115203
1948.75,-3.261435439287,-3.54371750702925
1949,-3.06472514504094,-3.75980766716681
1949.25,-2.8358835726121,-3.86528021029227
1949.5,-2.70306265959117,-3.99961466893325
1949.75,-2.66403331568544,-4.1119273596048
1950,-2.74887219562247,-3.96705501343699
1950.25,-2.88837375523349,-3.8681334104091
1950.5,-3.07189363451955,-3.66529632441443
1950.75,-3.16218048119166,-3.55086803315268
